e
( 0  3 60):  0.90555063H 0.91035542H 0.91479506H 0.91887831H 0.92272680H
( 0  3 65):  0.92635486H 0.92981830H 0.93314716H 0.93634174H 0.93954680H
( 0  3 70):  0.94296331H 0.94656480H 0.95047531H 0.95426135H 0.95764808H
( 0  3 75):  0.96004493H 0.96358311H 0.96690204H 0.96996333H 0.97282847H
( 0  3 80):  0.97551485H 0.97760183H 0.97857098H 0.97950442H 0.98033940H
( 0  3 85):  0.98120445H 0.98205026H 0.98285018H 0.98358130H 0.98428043H
( 0  3 90):  0.98476475H 0.98566445H 0.98636706H 0.98692767H 0.98737275H
( 0  3 95):  0.98778852H 0.98778852H 1.00000000H 1.00000000H 1.00000000H

( 0  4  0):  0.56013665P 0.56298348P 0.56596038P 0.56907387P 0.57233147P
( 0  4  5):  0.57574085P 0.57930807P 0.58304137P 0.58693527P 0.59101240P
( 0  4 10):  0.59528644P 0.59976436P 0.60444469P 0.60933508P 0.61437579P
( 0  4 15):  0.61974923P 0.62540861P 0.63131221P 0.63741704P 0.64371811P
( 0  4 20):  0.64999349H 0.65764928H 0.66526845H 0.67283868H 0.68034710H
( 0  4 25):  0.68779987H 0.69516002H 0.70249236H 0.70973994H 0.71696136H
( 0  4 30):  0.72418885H 0.73145899H 0.73879544H 0.74604598H 0.75322153H
( 0  4 35):  0.76036870H 0.76743840H 0.77441647H 0.78138423H 0.78828819H
( 0  4 40):  0.79510640H 0.80186285H 0.80852593H 0.81511288H 0.82144821H
( 0  4 45):  0.82760015H 0.83348866H 0.83918421H 0.84477077H 0.85036584H
( 0  4 50):  0.85604525H 0.86187809H 0.86771173H 0.87361576H 0.87941205H
( 0  4 55):  0.88492577H 0.89023296H 0.89536908H 0.90054870H 0.90555063H
( 0  4 60):  0.91035542H 0.91479506H 0.91887831H 0.92272680H 0.92635486H
( 0  4 65):  0.92981830H 0.93314716H 0.93634174H 0.93954680H 0.94296331H
( 0  4 70):  0.94656480H 0.95047531H 0.95426135H 0.95764808H 0.96004493H
( 0  4 75):  0.96358311H 0.96690204H 0.96996333H 0.97282847H 0.97551485H
( 0  4 80):  0.97760183H 0.97857098H 0.97950442H 0.98033940H 0.98120445H
( 0  4 85):  0.98205026H 0.98285018H 0.98358130H 0.98428043H 0.98476475H
( 0  4 90):  0.98566445H 0.98636706H 0.98692767H 0.98737275H 0.98778852H
( 0  4 95):  0.98778852H 1.00000000H 1.00000000H 1.00000000H 1.00000000H

( 0  5  0):  0.56757888P 0.57042924P 0.57340989P 0.57652748P 0.57978956P
( 0  5  5):  0.58320349P 0.58677568P 0.59051202P 0.59441137P 0.59849514P
( 0  5 10):  0.60277598P 0.60725922P 0.61194516P 0.61682944P 0.62189122P
( 0  5 15):  0.62727859P 0.63294427P 0.63884460P 0.64494510P 0.65119689P
( 0  5 20):  0.65764928H 0.66526845H 0.67283868H 0.68034710H 0.68779987H
( 0  5 25):  0.69516002H 0.70249236H 0.70973994H 0.71696136H 0.72418885H
( 0  5 30):  0.73145899H 0.73879544H 0.74604598H 0.75322153H 0.76036870H
( 0  5 35):  0.76743840H 0.77441647H 0.78138423H 0.78828819H 0.79510640H
( 0  5 40):  0.80186285H 0.80852593H 0.81511288H 0.82144821H 0.82760015H
( 0  5 45):  0.83348866H 0.83918421H 0.84477077H 0.85036584H 0.85604525H
( 0  5 50):  0.86187809H 0.86771173H 0.87361576H 0.87941205H 0.88492577H
( 0  5 55):  0.89023296H 0.89536908H 0.90054870H 0.90555063H 0.91035542H
( 0  5 60):  0.91479506H 0.91887831H 0.92272680H 0.92635486H 0.92981830H
( 0  5 65):  0.93314716H 0.93634174H 0.93954680H 0.94296331H 0.94656480H
( 0  5 70):  0.95047531H 0.95426135H 0.95764808H 0.96004493H 0.96358311H
( 0  5 75):  0.96690204H 0.96996333H 0.97282847H 0.97551485H 0.97760183H
( 0  5 80):  0.97857098H 0.97950442H 0.98033940H 0.98120445H 0.98205026H
( 0  5 85):  0.98285018H 0.98358130H 0.98428043H 0.98476475H 0.98566445H
( 0  5 90):  0.98636706H 0.98692767H 0.98737275H 0.98778852H 0.98778852H
( 0  5 95):  1.00000000H 1.00000000H 1.00000000H 1.00000000H 1.00000000H

( 0  6  0):  0.57502487P 0.57787718P 0.58085995P 0.58397997P 0.58724476P
( 0  6  5):  0.59066140P 0.59423655P 0.59797381P 0.60187658P 0.60596491P
( 0  6 10):  0.61025010P 0.61473639P 0.61942472P 0.62430014P 0.62938154P
( 0  6 15):  0.63478007P 0.64044751P 0.64634247P 0.65243012P 0.65863410P
( 0  6 20):  0.66526845H 0.67283868H 0.68034710H 0.68779987H 0.69516002H
( 0  6 25):  0.70249236H 0.70973994H 0.71696136H 0.72418885H 0.73145899H
( 0  6 30):  0.73879544H 0.74604598H 0.75322153H 0.76036870H 0.76743840H
( 0  6 35):  0.77441647H 0.78138423H 0.78828819H 0.79510640H 0.80186285H
( 0  6 40):  0.80852593H 0.81511288H 0.82144821H 0.82760015H 0.83348866H
( 0  6 45):  0.83918421H 0.84477077H 0.85036584H 0.85604525H 0.86187809H
( 0  6 50):  0.86771173H 0.87361576H 0.87941205H 0.88492577H 0.89023296H
( 0  6 55):  0.89536908H 0.90054870H 0.90555063H 0.91035542H 0.91479506H
( 0  6 60):  0.91887831H 0.92272680H 0.92635486H 0.92981830H 0.93314716H
( 0  6 65):  0.93634174H 0.93954680H 0.94296331H 0.94656480H 0.95047531H
( 0  6 70):  0.95426135H 0.95764808H 0.96004493H 0.96358311H 0.96690204H
( 0  6 75):  0.96996333H 0.97282847H 0.97551485H 0.97760183H 0.97857098H
( 0  6 80):  0.97950442H 0.98033940H 0.98120445H 0.98205026H 0.98285018H
( 0  6 85):  0.98358130H 0.98428043H 0.98476475H 0.98566445H 0.98636706H
( 0  6 90):  0.98692767H 0.98737275H 0.98778852H 0.98778852H 1.00000000H
( 0  6 95):  1.00000000H 1.00000000H 1.00000000H 1.00000000H 1.00000000H

( 0  7  0):  0.58246945P 0.58532210P 0.58830532P 0.59142600P 0.59469169P
( 0  7  5):  0.59810905P 0.60168515P 0.60542121P 0.60932531P 0.61341579P
( 0  7 10):  0.61770316P 0.62218930P 0.62687785P 0.63174164P 0.63684041P
( 0  7 15):  0.64224601P 0.64791353P 0.65379472P 0.65987292P 0.66602313P
( 0  7 20):  0.67283868H 0.68034710H 0.68779987H 0.69516002H 0.70249236H
( 0  7 25):  0.70973994H 0.71696136H 0.72418885H 0.73145899H 0.73879544H
( 0  7 30):  0.74604598H 0.75322153H 0.76036870H 0.76743840H 0.77441647H
( 0  7 35):  0.78138423H 0.78828819H 0.79510640H 0.80186285H 0.80852593H
( 0  7 40):  0.81511288H 0.82144821H 0.82760015H 0.83348866H 0.83918421H
( 0  7 45):  0.84477077H 0.85036584H 0.85604525H 0.86187809H 0.86771173H
( 0  7 50):  0.87361576H 0.87941205H 0.88492577H 0.89023296H 0.89536908H
( 0  7 55):  0.90054870H 0.90555063H 0.91035542H 0.91479506H 0.91887831H
( 0  7 60):  0.92272680H 0.92635486H 0.92981830H 0.93314716H 0.93634174H
( 0  7 65):  0.93954680H 0.94296331H 0.94656480H 0.95047531H 0.95426135H
( 0  7 70):  0.95764808H 0.96004493H 0.96358311H 0.96690204H 0.96996333H
( 0  7 75):  0.97282847H 0.97551485H 0.97760183H 0.97857098H 0.97950442H
( 0  7 80):  0.98033940H 0.98120445H 0.98205026H 0.98285018H 0.98358130H
( 0  7 85):  0.98428043H 0.98476475H 0.98566445H 0.98636706H 0.98692767H
( 0  7 90):  0.98737275H 0.98778852H 0.98778852H 1.00000000H 1.00000000H
( 0  7 95):  1.00000000H 1.00000000H 1.00000000H 1.00000000H 1.00000000H

( 0  8  0):  0.58991028P 0.59276167P 0.59574365P 0.59886328P 0.60212794P
( 0  8  5):  0.60554411P 0.60911907P 0.61285199P 0.61675514P 0.62084569P
( 0  8 10):  0.62513211P 0.62961605P 0.63430180P 0.63915263P 0.64426457P
( 0  8 15):  0.64967546P 0.65533456P 0.66120542P 0.66726716P 0.67336953P
( 0  8 20):  0.68034710H 0.68779987H 0.69516002H 0.70249236H 0.70973994H
( 0  8 25):  0.71696136H 0.72418885H 0.73145899H 0.73879544H 0.74604598H
( 0  8 30):  0.75322153H 0.76036870H 0.76743840H 0.77441647H 0.78138423H
( 0  8 35):  0.78828819H 0.79510640H 0.80186285H 0.80852593H 0.81511288H
( 0  8 40):  0.82144821H 0.82760015H 0.83348866H 0.83918421H 0.84477077H
( 0  8 45):  0.85036584H 0.85604525H 0.86187809H 0.86771173H 0.87361576H
( 0  8 50):  0.87941205H 0.88492577H 0.89023296H 0.89536908H 0.90054870H
( 0  8 55):  0.90555063H 0.91035542H 0.91479506H 0.91887831H 0.92272680H
( 0  8 60):  0.92635486H 0.92981830H 0.93314716H 0.93634174H 0.93954680H
( 0  8 65):  0.94296331H 0.94656480H 0.95047531H 0.95426135H 0.95764808H
( 0  8 70):  0.96004493H 0.96358311H 0.96690204H 0.96996333H 0.97282847H
( 0  8 75):  0.97551485H 0.97760183H 0.97857098H 0.97950442H 0.98033940H
( 0  8 80):  0.98120445H 0.98205026H 0.98285018H 0.98358130H 0.98428043H
( 0  8 85):  0.98476475H 0.98566445H 0.98636706H 0.98692767H 0.98737275H
( 0  8 90):  0.98778852H 0.98778852H 1.00000000H 1.00000000H 1.00000000H
( 0  8 95):  1.00000000H 1.00000000H 1.00000000H 1.00000000H 1.00000000H

( 0  9  0):  0.59734963P 0.60019820P 0.60317737P 0.60629416P 0.60955602P
( 0  9  5):  0.61296905P 0.61654083P 0.62026877P 0.62416917P 0.62825680P
( 0  9 10):  0.63254017P 0.63701905P 0.64169941P 0.64653685P 0.65165917P
( 0  9 15):  0.65706597P 0.66271924P 0.66857273P 0.67461899P 0.68068382P
( 0  9 20):  0.68779987H 0.69516002H 0.70249236H 0.70973994H 0.71696136H
( 0  9 25):  0.72418885H 0.73145899H 0.73879544H 0.74604598H 0.75322153H
( 0  9 30):  0.76036870H 0.76743840H 0.77441647H 0.78138423H 0.78828819H
( 0  9 35):  0.79510640H 0.80186285H 0.80852593H 0.81511288H 0.82144821H
( 0  9 40):  0.82760015H 0.83348866H 0.83918421H 0.84477077H 0.85036584H
( 0  9 45):  0.85604525H 0.86187809H 0.86771173H 0.87361576H 0.87941205H
( 0  9 50):  0.88492577H 0.89023296H 0.89536908H 0.90054870H 0.90555063H
( 0  9 55):  0.91035542H 0.91479506H 0.91887831H 0.92272680H 0.92635486H
( 0  9 60):  0.92981830H 0.93314716H 0.93634174H 0.93954680H 0.94296331H
( 0  9 65):  0.94656480H 0.95047531H 0.95426135H 0.95764808H 0.96004493H
( 0  9 70):  0.96358311H 0.96690204H 0.96996333H 0.97282847H 0.97551485H
( 0  9 75):  0.97760183H 0.97857098H 0.97950442H 0.98033940H 0.98120445H
( 0  9 80):  0.98205026H 0.98285018H 0.98358130H 0.98428043H 0.98476475H
( 0  9 85):  0.98566445H 0.98636706H 0.98692767H 0.98737275H 0.98778852H
( 0  9 90):  0.98778852H 1.00000000H 1.00000000H 1.00000000H 1.00000000H
( 0  9 95):  1.00000000H 1.00000000H 1.00000000H 1.00000000H 1.00000000H

( 0 10  0):  0.60478862P 0.60763309P 0.61060801P 0.61372052P 0.61697792P
( 0 10  5):  0.62038614P 0.62395281P 0.62767483P 0.63157002P 0.63565297P
( 0 10 10):  0.63993052P 0.64440216P 0.64907483P 0.65390214P 0.65902410P
( 0 10 15):  0.66442825P 0.67006746P 0.67590467P 0.68193815P 0.68798797P
( 0 10 20):  0.69516002H 0.70249236H 0.70973994H 0.71696136H 0.72418885H
( 0 10 25):  0.73145899H 0.73879544H 0.74604598H 0.75322153H 0.76036870H
